Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:00:00.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,20.3,Cryptojacking,Kuman KW47,01:00:05.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:00:10.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,20.9,Cryptojacking,Kuman KW47,01:00:15.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:00:20.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.4,Cryptojacking,Kuman KW47,01:00:25.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.4,Cryptojacking,Kuman KW47,01:00:30.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:00:35.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:00:40.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:00:45.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:00:50.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:00:55.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:01:00.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,20.3,Cryptojacking,Kuman KW47,01:01:05.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.3,Cryptojacking,Kuman KW47,01:01:10.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.3,Cryptojacking,Kuman KW47,01:01:15.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.4,Cryptojacking,Kuman KW47,01:01:20.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.4,Cryptojacking,Kuman KW47,01:01:25.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:01:30.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.3,Cryptojacking,Kuman KW47,01:01:35.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:01:40.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.4,Cryptojacking,Kuman KW47,01:01:45.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:01:50.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:01:55.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.0,Cryptojacking,Kuman KW47,01:02:00.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:02:05.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.3,Cryptojacking,Kuman KW47,01:02:10.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,19.6,Cryptojacking,Kuman KW47,01:02:15.000
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,18.7,Cryptojacking,Kuman KW47,01:02:20.000
