Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,38.9,8.79,45.12,Cryptojacking,System,00:59:34.342
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,38.9,5.49,45.19,Cryptojacking,System,00:59:35.650
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.0,5.81,45.17,Cryptojacking,System,00:59:36.959
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.1,6.52,45.25,Cryptojacking,System,00:59:38.271
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.2,14.28,45.27,Cryptojacking,System,00:59:39.586
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.2,4.44,45.21,Cryptojacking,System,00:59:40.895
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.2,4.59,45.26,Cryptojacking,System,00:59:42.204
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.5,4.65,45.21,Cryptojacking,System,00:59:43.506
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.5,6.66,45.26,Cryptojacking,System,00:59:44.824
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.6,5.68,45.28,Cryptojacking,System,00:59:46.124
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.6,5.81,45.2,Cryptojacking,System,00:59:47.430
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.6,5.68,45.23,Cryptojacking,System,00:59:48.732
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.8,5.68,45.15,Cryptojacking,System,00:59:50.042
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.8,5.68,44.82,Cryptojacking,System,00:59:51.363
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.9,4.81,44.9,Cryptojacking,System,00:59:52.665
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.9,6.74,44.82,Cryptojacking,System,00:59:53.980
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,39.9,3.65,44.86,Cryptojacking,System,00:59:55.280
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,40.1,5.88,44.82,Cryptojacking,System,00:59:56.576
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,40.0,4.65,44.82,Cryptojacking,System,00:59:57.889
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle_buffer,40.0,3.44,44.88,Cryptojacking,System,00:59:59.197
CoinIMP (CPU) (100%),Apple MacBook Pro i7 2013,1,Idle,40.0,4.59,44.82,Cryptojacking,System,01:00:00.508
