Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Current (A),Voltage (V),Voltage Adjusted (V)
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:00.788,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.86,Cryptojacking,ACS712,02:45:01.813,0.17,2.43,0.02
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:02.797,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.37,Cryptojacking,ACS712,02:45:03.789,0.07,2.42,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:04.813,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,-0.11,Cryptojacking,ACS712,02:45:05.797,-0.02,2.41,-0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.62,Cryptojacking,ACS712,02:45:06.784,0.12,2.43,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,-0.11,Cryptojacking,ACS712,02:45:07.806,-0.02,2.41,-0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:08.791,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,-0.36,Cryptojacking,ACS712,02:45:09.808,-0.07,2.41,-0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:10.797,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.62,Cryptojacking,ACS712,02:45:11.817,0.12,2.43,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.62,Cryptojacking,ACS712,02:45:12.804,0.12,2.43,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:13.793,0.03,2.42,0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,-0.11,Cryptojacking,ACS712,02:45:14.817,-0.02,2.41,-0.0
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.37,Cryptojacking,ACS712,02:45:15.802,0.07,2.42,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.62,Cryptojacking,ACS712,02:45:16.820,0.12,2.43,0.01
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,0.13,Cryptojacking,ACS712,02:45:17.808,0.03,2.42,0.0
