Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.9,33.3,18.3005,Cryptojacking,System,02:45:00.547
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,14.3,18.2949,Cryptojacking,System,02:45:01.781
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,14.3,18.322,Cryptojacking,System,02:45:03.013
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3212,Cryptojacking,System,02:45:04.271
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.9,26.7,18.3212,Cryptojacking,System,02:45:05.537
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3483,Cryptojacking,System,02:45:06.770
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3539,Cryptojacking,System,02:45:08.003
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,30.0,18.3483,Cryptojacking,System,02:45:09.236
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3474,Cryptojacking,System,02:45:10.498
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3474,Cryptojacking,System,02:45:11.766
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,12.5,18.353,Cryptojacking,System,02:45:12.999
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,33.3,18.353,Cryptojacking,System,02:45:14.234
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3746,Cryptojacking,System,02:45:15.468
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.3746,Cryptojacking,System,02:45:16.732
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,51.0,25.0,18.3522,Cryptojacking,System,02:45:17.967
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,30.0,18.3466,Cryptojacking,System,02:45:19.201
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,22.2,18.325,Cryptojacking,System,02:45:20.436
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.2708,Cryptojacking,System,02:45:21.670
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.4,23.1,17.8131,Cryptojacking,System,02:45:22.949
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.9,31.3,17.8402,Cryptojacking,System,02:45:24.217
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.9,12.5,18.0572,Cryptojacking,System,02:45:25.451
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0572,Cryptojacking,System,02:45:26.684
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,33.3,18.0357,Cryptojacking,System,02:45:27.917
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,51.0,25.0,18.1115,Cryptojacking,System,02:45:29.176
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0297,Cryptojacking,System,02:45:30.412
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0292,Cryptojacking,System,02:45:31.646
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0564,Cryptojacking,System,02:45:32.880
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0564,Cryptojacking,System,02:45:34.115
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,49.9,26.7,18.0826,Cryptojacking,System,02:45:35.381
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,12.5,18.0826,Cryptojacking,System,02:45:36.614
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0826,Cryptojacking,System,02:45:37.849
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,22.2,18.0826,Cryptojacking,System,02:45:39.083
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.0826,Cryptojacking,System,02:45:40.345
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,33.3,18.136,Cryptojacking,System,02:45:41.579
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,33.3,18.136,Cryptojacking,System,02:45:42.813
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.1903,Cryptojacking,System,02:45:44.047
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.1903,Cryptojacking,System,02:45:45.280
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,20.0,18.1903,Cryptojacking,System,02:45:46.544
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,25.0,18.167,Cryptojacking,System,02:45:47.777
CoinIMP (CPU) (100%),Raspberry Pi 3B 1GB,1,Idle,50.5,33.3,18.139,Cryptojacking,System,02:45:49.009
