Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),GPU Temperature (°C),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,23.6,79.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:47.000,0.4,73.0,75.0,79.0,73.0,19.6
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,16.6,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:49.000,0.5,72.0,74.0,71.0,71.0,12.6
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,13.1,74.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:51.000,0.4,75.0,75.0,75.0,72.0,9.3
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.1,74.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:53.000,0.4,72.0,74.0,72.0,72.0,10.2
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.3,76.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:55.000,0.4,76.0,76.0,76.0,76.0,10.5
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.3,74.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:57.000,0.4,72.0,74.0,72.0,72.0,10.4
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,13.4,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:30:59.000,0.5,75.0,75.0,71.0,72.0,9.6
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.4,77.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:01.000,0.5,73.0,74.0,77.0,71.0,10.5
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.0,74.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:03.000,0.4,71.0,74.0,70.0,71.0,10.1
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,13.8,73.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:05.000,0.4,71.0,73.0,70.0,71.0,9.9
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,13.7,69.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:07.000,0.4,69.0,69.0,69.0,69.0,9.9
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.2,71.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:09.000,0.4,70.0,71.0,68.0,70.0,10.4
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,12.1,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:11.000,0.4,74.0,75.0,75.0,71.0,8.3
CoinIMP (CPU) (20%),ASUS Zenbook UX51VZ,1,Attack,14.3,75.0,0.0,Cryptojacking,Open Hardware Monitor,03:31:13.000,0.4,71.0,73.0,68.0,70.0,10.5
