Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,20.3,68.0,12.7,2.4,58.0,0.0,48.5,Cryptojacking,Open Hardware Monitor,11:51:33.000,0.1,64.0,71.0,62.0,63.0,15.0
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,19.7,67.0,11.2,2.4,58.0,0.0,48.5,Cryptojacking,Open Hardware Monitor,11:51:35.000,0.2,58.0,60.0,67.0,59.0,13.9
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,19.7,65.0,9.6,2.4,0.0,0.0,48.7,Cryptojacking,Open Hardware Monitor,11:51:37.000,0.0,65.0,64.0,56.0,58.0,14.9
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.2,64.0,8.6,2.4,0.0,0.0,48.7,Cryptojacking,Open Hardware Monitor,11:51:39.000,0.0,54.0,55.0,56.0,54.0,9.7
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,63.0,10.2,2.4,0.0,0.0,48.6,Cryptojacking,Open Hardware Monitor,11:51:41.000,0.0,63.0,55.0,56.0,55.0,10.7
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,63.0,7.9,2.4,0.0,0.0,48.6,Cryptojacking,Open Hardware Monitor,11:51:43.000,0.0,63.0,55.0,54.0,55.0,11.4
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.6,58.0,10.4,2.4,0.0,0.0,48.1,Cryptojacking,Open Hardware Monitor,11:51:45.000,0.0,52.0,52.0,52.0,52.0,9.7
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.9,65.0,8.3,2.4,0.0,0.0,48.1,Cryptojacking,Open Hardware Monitor,11:51:47.000,0.1,54.0,66.0,52.0,56.0,9.2
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.7,58.0,9.7,2.4,0.0,0.0,48.1,Cryptojacking,Open Hardware Monitor,11:51:49.000,0.0,52.0,55.0,53.0,53.0,11.2
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.4,58.0,9.5,2.4,0.0,0.0,48.1,Cryptojacking,Open Hardware Monitor,11:51:51.000,0.0,53.0,53.0,54.0,54.0,10.8
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.5,58.0,8.2,2.4,58.0,0.0,48.0,Cryptojacking,Open Hardware Monitor,11:51:53.000,0.0,51.0,55.0,54.0,55.0,9.9
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.0,58.0,9.2,2.4,58.0,0.0,48.0,Cryptojacking,Open Hardware Monitor,11:51:55.000,0.0,53.0,53.0,53.0,52.0,10.2
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.3,61.0,9.4,2.4,0.0,0.0,47.9,Cryptojacking,Open Hardware Monitor,11:51:57.000,0.0,61.0,55.0,56.0,52.0,9.8
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.2,60.0,8.3,2.4,0.0,0.0,47.9,Cryptojacking,Open Hardware Monitor,11:51:59.000,0.0,60.0,55.0,54.0,52.0,10.8
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,62.0,9.9,2.4,0.0,0.0,47.9,Cryptojacking,Open Hardware Monitor,11:52:01.000,0.0,62.0,53.0,54.0,52.0,10.5
GMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.1,65.0,9.0,2.4,0.0,0.0,47.9,Cryptojacking,Open Hardware Monitor,11:52:03.000,0.0,65.0,53.0,54.0,52.0,11.6
