Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,19.2,62.0,11.8,2.4,0.0,86.0,66.3,Cryptojacking,Open Hardware Monitor,09:35:53.000,0.0,63.0,62.0,61.0,55.0,14.5
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.3,55.0,9.3,2.4,0.0,86.0,66.3,Cryptojacking,Open Hardware Monitor,09:35:55.000,0.1,54.0,54.0,49.0,50.0,9.0
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.1,56.0,10.6,2.4,0.0,86.0,66.3,Cryptojacking,Open Hardware Monitor,09:35:57.000,0.0,56.0,50.0,50.0,48.0,9.1
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.7,61.0,14.5,2.4,0.0,86.0,66.0,Cryptojacking,Open Hardware Monitor,09:35:59.000,0.0,51.0,61.0,48.0,52.0,10.4
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.9,60.0,8.3,2.4,0.0,86.0,65.9,Cryptojacking,Open Hardware Monitor,09:36:01.000,0.0,47.0,60.0,48.0,52.0,9.9
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.3,55.0,7.9,2.4,0.0,86.0,65.9,Cryptojacking,Open Hardware Monitor,09:36:03.000,0.1,55.0,52.0,50.0,48.0,9.1
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.0,66.0,8.2,2.4,0.0,86.0,65.8,Cryptojacking,Open Hardware Monitor,09:36:05.000,0.0,55.0,66.0,50.0,49.0,9.8
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,12.7,67.0,9.6,2.4,0.0,86.0,65.8,Cryptojacking,Open Hardware Monitor,09:36:07.000,0.0,60.0,51.0,49.0,48.0,8.8
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,12.8,56.0,8.7,2.4,0.0,86.0,65.7,Cryptojacking,Open Hardware Monitor,09:36:09.000,0.0,55.0,50.0,50.0,48.0,8.6
lolMiner (GPU),HP Victus 16-d0417nf,1,Idle,13.7,55.0,11.1,2.4,0.0,86.0,65.8,Cryptojacking,Open Hardware Monitor,09:36:11.000,0.0,55.0,49.0,49.0,47.0,9.5
