Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,17.7,57.0,11.9,2.4,0.0,0.0,66.5,Cryptojacking,Open Hardware Monitor,16:02:04.000,0.1,55.0,57.0,47.0,48.0,13.3
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,16.8,61.0,9.5,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,16:02:06.000,0.0,49.0,61.0,46.0,50.0,12.5
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,16.7,55.0,9.5,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,16:02:08.000,0.1,55.0,47.0,47.0,46.0,12.3
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,14.0,55.0,8.9,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,16:02:10.000,0.0,58.0,49.0,47.0,46.0,9.8
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,14.2,55.0,8.3,2.4,0.0,0.0,66.5,Cryptojacking,Open Hardware Monitor,16:02:12.000,0.1,53.0,53.0,47.0,46.0,10.0
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,15.6,51.0,8.5,2.4,0.0,0.0,66.5,Cryptojacking,Open Hardware Monitor,16:02:14.000,0.0,45.0,46.0,45.0,46.0,11.3
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,15.0,58.0,8.2,2.4,0.0,0.0,66.5,Cryptojacking,Open Hardware Monitor,16:02:16.000,0.1,43.0,58.0,43.0,48.0,10.8
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,13.8,51.0,8.9,2.4,0.0,0.0,66.5,Cryptojacking,Open Hardware Monitor,16:02:18.000,0.1,44.0,45.0,43.0,47.0,9.5
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,13.4,50.0,8.1,2.4,0.0,0.0,66.4,Cryptojacking,Open Hardware Monitor,16:02:20.000,0.1,46.0,46.0,46.0,44.0,9.3
miniZ (GPU),HP Victus 16-d0417nf,1,Idle,13.0,51.0,9.2,2.4,50.0,0.0,66.3,Cryptojacking,Open Hardware Monitor,16:02:22.000,0.1,43.0,46.0,43.0,46.0,8.8
