Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,22.9,77.0,7.8,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:01.000,0.0,59.0,77.0,53.0,58.0,18.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,56.0,5.6,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:03.000,0.0,49.0,50.0,49.0,48.0,12.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.2,62.0,5.7,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:05.000,0.0,49.0,64.0,49.0,52.0,12.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,57.0,5.9,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:07.000,0.0,49.0,51.0,49.0,57.0,11.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.4,55.0,6.4,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:09.000,0.1,48.0,50.0,49.0,48.0,10.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,16.5,64.0,5.6,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:11.000,0.0,53.0,64.0,52.0,54.0,12.4
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.1,55.0,6.2,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:13.000,0.0,49.0,50.0,49.0,50.0,11.2
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.9,56.0,6.0,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:15.000,0.0,49.0,50.0,50.0,50.0,12.0
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,14.4,55.0,5.9,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:17.000,0.0,49.0,49.0,49.0,49.0,10.6
NBMiner (GPU),HP Victus 16-d0417nf,1,Idle,15.0,56.0,6.5,2.4,0.0,0.0,56.7,Cryptojacking,Open Hardware Monitor,08:00:19.000,0.0,51.0,50.0,51.0,50.0,11.0
