Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.2,60.0,6.2,2.4,0.0,0.0,62.6,Cryptojacking,Open Hardware Monitor,19:48:22.000,0.0,47.0,60.0,46.0,50.0,9.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.0,53.0,5.6,2.4,0.0,0.0,62.8,Cryptojacking,Open Hardware Monitor,19:48:24.000,0.1,50.0,47.0,48.0,47.0,10.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.3,58.0,5.9,2.4,0.0,0.0,62.9,Cryptojacking,Open Hardware Monitor,19:48:26.000,0.1,58.0,49.0,49.0,48.0,9.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.0,53.0,6.5,2.4,0.0,0.0,62.8,Cryptojacking,Open Hardware Monitor,19:48:28.000,0.0,48.0,48.0,47.0,48.0,10.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.7,61.0,6.1,2.4,0.0,0.0,62.7,Cryptojacking,Open Hardware Monitor,19:48:30.000,0.1,47.0,61.0,47.0,50.0,10.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.9,53.0,5.9,2.4,0.0,0.0,62.6,Cryptojacking,Open Hardware Monitor,19:48:32.000,0.1,53.0,47.0,48.0,46.0,9.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.3,54.0,5.0,2.4,0.0,0.0,62.7,Cryptojacking,Open Hardware Monitor,19:48:34.000,0.1,47.0,53.0,47.0,49.0,9.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.7,60.0,8.3,2.4,0.0,0.0,62.7,Cryptojacking,Open Hardware Monitor,19:48:36.000,0.1,53.0,60.0,49.0,50.0,12.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.3,60.0,8.9,2.4,0.0,0.0,62.9,Cryptojacking,Open Hardware Monitor,19:48:38.000,0.1,60.0,50.0,52.0,48.0,12.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,20.0,61.0,7.8,2.4,0.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,19:48:40.000,0.2,61.0,55.0,54.0,55.0,15.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,20.2,55.0,9.2,2.4,0.0,0.0,63.0,Cryptojacking,Open Hardware Monitor,19:48:42.000,0.2,50.0,51.0,55.0,50.0,15.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.5,60.0,5.7,2.4,0.0,0.0,62.8,Cryptojacking,Open Hardware Monitor,19:48:44.000,0.0,50.0,50.0,60.0,48.0,10.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,22.8,58.0,10.1,2.4,0.0,0.0,63.5,Cryptojacking,Open Hardware Monitor,19:48:46.000,0.1,58.0,50.0,50.0,50.0,17.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.8,63.0,5.2,2.4,0.0,0.0,63.5,Cryptojacking,Open Hardware Monitor,19:48:48.000,0.1,55.0,57.0,62.0,50.0,12.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.7,59.0,5.3,2.4,0.0,0.0,63.3,Cryptojacking,Open Hardware Monitor,19:48:50.000,0.1,60.0,48.0,52.0,47.0,9.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,35.0,73.0,20.7,2.4,0.0,0.0,63.8,Cryptojacking,Open Hardware Monitor,19:48:52.000,0.1,70.0,73.0,69.0,55.0,29.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,23.2,60.0,7.3,2.4,0.0,0.0,64.1,Cryptojacking,Open Hardware Monitor,19:48:54.000,0.1,60.0,52.0,52.0,49.0,17.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,28.2,62.0,9.4,2.4,54.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,19:48:56.000,0.0,56.0,58.0,62.0,51.0,22.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,21.2,59.0,7.6,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:48:58.000,0.0,59.0,51.0,54.0,50.0,16.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,23.2,66.0,9.1,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:00.000,0.0,52.0,66.0,52.0,54.0,18.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,18.6,54.0,7.0,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:02.000,0.0,47.0,49.0,48.0,49.0,13.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,21.8,54.0,9.1,2.4,0.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,19:49:04.000,0.0,53.0,50.0,49.0,49.0,17.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,24.6,62.0,10.1,2.4,0.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,19:49:06.000,0.1,62.0,65.0,62.0,52.0,19.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.2,53.0,5.1,2.4,0.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,19:49:08.000,0.0,47.0,49.0,48.0,49.0,10.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,19.1,61.0,4.8,2.4,54.0,3.0,64.6,Cryptojacking,Open Hardware Monitor,19:49:10.000,0.0,53.0,50.0,50.0,50.0,14.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.6,71.0,5.5,2.4,0.0,3.0,64.6,Cryptojacking,Open Hardware Monitor,19:49:12.000,0.0,61.0,72.0,52.0,55.0,12.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,21.4,68.0,5.6,2.4,0.0,3.0,64.7,Cryptojacking,Open Hardware Monitor,19:49:15.000,0.0,51.0,48.0,49.0,48.0,16.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.4,54.0,5.3,2.4,0.0,3.0,64.7,Cryptojacking,Open Hardware Monitor,19:49:17.000,0.0,48.0,49.0,48.0,48.0,10.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,19.3,61.0,6.5,2.4,0.0,3.0,64.7,Cryptojacking,Open Hardware Monitor,19:49:19.000,0.0,61.0,52.0,59.0,51.0,14.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,18.8,64.0,5.7,2.4,0.0,3.0,64.8,Cryptojacking,Open Hardware Monitor,19:49:21.000,0.0,56.0,55.0,64.0,52.0,14.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,23.3,69.0,10.7,2.4,0.0,3.0,65.2,Cryptojacking,Open Hardware Monitor,19:49:23.000,0.0,68.0,52.0,56.0,50.0,18.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,22.3,62.0,11.0,2.4,0.0,3.0,65.6,Cryptojacking,Open Hardware Monitor,19:49:25.000,0.0,65.0,62.0,52.0,51.0,18.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.7,54.0,3.9,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:27.000,0.1,47.0,49.0,49.0,49.0,11.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.8,53.0,5.7,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:29.000,0.0,49.0,52.0,49.0,50.0,10.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.2,54.0,5.5,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:31.000,0.0,48.0,49.0,48.0,48.0,9.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.4,65.0,5.6,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:33.000,0.1,49.0,66.0,48.0,51.0,12.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.1,58.0,5.3,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:35.000,0.0,48.0,58.0,48.0,50.0,10.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.7,64.0,4.9,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:37.000,0.0,49.0,64.0,47.0,51.0,9.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.6,66.0,5.1,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:39.000,0.0,49.0,66.0,49.0,51.0,10.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.6,54.0,5.3,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:41.000,0.0,48.0,49.0,48.0,49.0,11.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.6,55.0,5.5,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:43.000,0.0,48.0,49.0,49.0,49.0,11.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.6,65.0,5.2,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:45.000,0.0,65.0,49.0,52.0,48.0,11.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.3,61.0,5.0,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:47.000,0.0,61.0,51.0,52.0,49.0,11.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.3,53.0,4.7,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:49.000,0.0,53.0,50.0,49.0,49.0,11.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.5,55.0,5.7,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:49:51.000,0.0,56.0,52.0,50.0,48.0,13.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.9,58.0,6.8,2.4,54.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,19:49:53.000,0.0,58.0,53.0,52.0,50.0,12.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.3,63.0,6.0,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:55.000,0.0,48.0,63.0,52.0,51.0,10.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.9,54.0,5.3,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:57.000,0.1,49.0,49.0,48.0,48.0,10.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.8,53.0,6.0,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:49:59.000,0.0,47.0,48.0,47.0,47.0,9.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.8,53.0,5.1,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:01.000,0.0,48.0,49.0,47.0,47.0,9.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,12.7,53.0,5.0,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:03.000,0.1,49.0,48.0,47.0,48.0,8.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.5,54.0,5.5,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:50:05.000,0.1,47.0,49.0,48.0,48.0,9.2
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.6,54.0,5.0,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:07.000,0.0,48.0,48.0,48.0,47.0,9.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.2,53.0,5.3,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:09.000,0.1,47.0,49.0,48.0,49.0,10.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.7,54.0,4.9,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:11.000,0.1,49.0,48.0,48.0,48.0,9.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.2,54.0,4.9,2.4,0.0,0.0,63.9,Cryptojacking,Open Hardware Monitor,19:50:13.000,0.0,47.0,47.0,48.0,48.0,10.0
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,14.4,54.0,5.2,2.4,0.0,0.0,63.9,Cryptojacking,Open Hardware Monitor,19:50:15.000,0.1,48.0,48.0,47.0,48.0,10.1
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,25.1,62.0,8.3,2.4,0.0,0.0,64.1,Cryptojacking,Open Hardware Monitor,19:50:17.000,0.0,59.0,62.0,52.0,52.0,19.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,38.4,69.0,11.2,2.4,0.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,19:50:19.000,0.0,67.0,69.0,60.0,62.0,32.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,37.8,79.0,13.6,2.4,54.0,0.0,65.2,Cryptojacking,Open Hardware Monitor,19:50:21.000,0.0,74.0,76.0,65.0,79.0,31.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,26.8,76.0,8.7,2.4,0.0,0.0,66.2,Cryptojacking,Open Hardware Monitor,19:50:23.000,2.4,76.0,76.0,76.0,58.0,18.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,34.3,79.0,9.7,2.4,55.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:25.000,0.2,62.0,79.0,55.0,56.0,28.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,33.4,68.0,9.1,2.4,0.0,0.0,66.3,Cryptojacking,Open Hardware Monitor,19:50:27.000,0.1,60.0,66.0,68.0,56.0,27.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,27.9,55.0,8.5,2.4,55.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:29.000,0.0,52.0,53.0,52.0,52.0,22.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.5,55.0,5.8,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:31.000,0.2,50.0,53.0,52.0,51.0,11.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,29.2,79.0,9.1,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:33.000,0.2,56.0,79.0,54.0,57.0,23.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,18.5,55.0,6.9,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:35.000,0.3,54.0,52.0,51.0,50.0,13.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,16.9,56.0,7.0,2.4,0.0,0.0,66.6,Cryptojacking,Open Hardware Monitor,19:50:37.000,0.0,54.0,53.0,52.0,50.0,12.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,18.7,70.0,7.7,2.4,0.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,19:50:39.000,0.2,55.0,70.0,54.0,58.0,13.9
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,19.1,66.0,6.9,2.4,55.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,19:50:41.000,0.1,65.0,61.0,59.0,52.0,14.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.1,56.0,4.7,2.4,0.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,19:50:43.000,0.1,48.0,49.0,49.0,49.0,8.8
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.5,62.0,5.2,2.4,0.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,19:50:45.000,0.0,50.0,62.0,49.0,52.0,11.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.8,61.0,5.1,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:47.000,0.1,61.0,49.0,53.0,48.0,9.6
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.8,62.0,5.3,2.4,0.0,0.0,64.2,Cryptojacking,Open Hardware Monitor,19:50:49.000,0.1,62.0,50.0,52.0,48.0,9.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,13.6,61.0,5.7,2.4,0.0,0.0,64.3,Cryptojacking,Open Hardware Monitor,19:50:51.000,0.0,61.0,49.0,52.0,49.0,9.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,29.9,76.0,10.5,2.4,0.0,0.0,64.9,Cryptojacking,Open Hardware Monitor,19:50:53.000,0.3,58.0,76.0,68.0,74.0,24.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.3,66.0,4.3,2.4,0.0,0.0,64.9,Cryptojacking,Open Hardware Monitor,19:50:55.000,0.1,56.0,66.0,54.0,52.0,12.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,24.1,70.0,7.0,2.4,0.0,0.0,65.0,Cryptojacking,Open Hardware Monitor,19:50:57.000,0.0,58.0,70.0,64.0,55.0,19.7
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,17.9,56.0,5.5,2.4,0.0,0.0,65.0,Cryptojacking,Open Hardware Monitor,19:50:59.000,0.0,56.0,53.0,53.0,50.0,13.4
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.6,55.0,4.2,2.4,0.0,0.0,65.0,Cryptojacking,Open Hardware Monitor,19:51:01.000,0.0,49.0,50.0,50.0,50.0,11.3
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,15.0,55.0,4.9,2.4,0.0,0.0,65.1,Cryptojacking,Open Hardware Monitor,19:51:03.000,0.1,49.0,50.0,50.0,50.0,10.5
NiceHash (GPU),HP Victus 16-d0417nf,1,Idle,19.0,71.0,8.0,2.4,54.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,19:51:05.000,0.2,55.0,71.0,52.0,54.0,14.2
