Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,9.5,46.0,11.8,2.4,44.0,0.0,64.9,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,39.0,46.0,40.0,41.0,4.2
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,10.7,45.0,24.0,2.4,44.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,38.0,40.0,39.0,39.0,5.4
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.4,44.0,5.3,2.4,44.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,39.0,38.0,39.0,39.0,1.4
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.0,45.0,5.8,2.4,44.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,39.0,39.0,37.0,39.0,0.9
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.1,45.0,4.8,2.4,44.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,38.0,39.0,37.0,39.0,0.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.5,44.0,4.7,2.4,0.0,0.0,64.7,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,38.0,39.0,37.0,38.0,1.2
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,6.1,44.0,8.4,2.4,44.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.0,40.0,39.0,42.0,39.0,2.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.9,45.0,3.5,2.4,44.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,39.0,39.0,37.0,39.0,0.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.2,45.0,4.7,2.4,0.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,39.0,40.0,38.0,38.0,1.0
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,7.2,45.0,11.3,2.4,45.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.0,40.0,40.0,37.0,38.0,3.6
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.0,45.0,4.9,2.4,44.0,0.0,64.4,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,39.0,38.0,37.0,39.0,1.0
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.4,44.0,5.3,2.4,44.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,39.0,40.0,37.0,38.0,1.4
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.8,45.0,3.7,2.4,44.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,38.0,38.0,39.0,39.0,0.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.8,44.0,4.5,2.4,44.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,39.0,38.0,37.0,38.0,0.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.1,45.0,4.6,2.4,44.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.2,38.0,39.0,39.0,38.0,0.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,5.9,45.0,7.7,2.4,44.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,00:21:00.000,0.1,39.0,39.0,40.0,39.0,2.4
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,6.3,45.0,6.8,2.4,45.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:22:00.000,0.1,39.0,38.0,37.0,38.0,1.8
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,4.7,45.0,3.9,2.4,45.0,0.0,64.5,Cryptojacking,Open Hardware Monitor,00:22:00.000,0.2,39.0,39.0,39.0,38.0,0.7
OneZeroMiner (GPU),HP Victus 16-d0417nf,1,Idle,6.2,45.0,5.6,2.4,44.0,0.0,64.6,Cryptojacking,Open Hardware Monitor,00:22:00.000,0.1,40.0,41.0,37.0,40.0,1.8
