Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,19.8,55.0,12.0,2.4,0.0,0.0,71.2,Cryptojacking,Open Hardware Monitor,20:20:43.000,0.0,50.0,55.0,51.0,48.0,15.4
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,17.2,47.0,9.5,2.4,0.0,0.0,71.3,Cryptojacking,Open Hardware Monitor,20:20:45.000,0.0,42.0,42.0,40.0,43.0,13.1
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,18.1,47.0,13.0,2.4,0.0,0.0,71.4,Cryptojacking,Open Hardware Monitor,20:20:47.000,0.0,42.0,44.0,42.0,46.0,13.9
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,17.5,47.0,13.9,2.4,0.0,0.0,71.5,Cryptojacking,Open Hardware Monitor,20:20:49.000,0.0,41.0,44.0,42.0,43.0,13.4
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,19.9,49.0,11.9,2.4,0.0,0.0,71.5,Cryptojacking,Open Hardware Monitor,20:20:51.000,0.0,42.0,44.0,42.0,43.0,15.7
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,14.4,47.0,11.1,2.4,0.0,0.0,71.4,Cryptojacking,Open Hardware Monitor,20:20:53.000,0.0,40.0,42.0,41.0,42.0,10.4
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,15.4,49.0,9.0,2.4,0.0,0.0,71.4,Cryptojacking,Open Hardware Monitor,20:20:55.000,0.0,40.0,42.0,42.0,43.0,11.5
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,17.1,62.0,10.8,2.4,0.0,0.0,71.4,Cryptojacking,Open Hardware Monitor,20:20:57.000,0.0,45.0,61.0,43.0,48.0,13.0
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,14.9,47.0,11.6,2.4,0.0,0.0,71.4,Cryptojacking,Open Hardware Monitor,20:20:59.000,0.0,43.0,42.0,44.0,47.0,11.0
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,19.3,66.0,10.2,2.4,0.0,0.0,71.8,Cryptojacking,Open Hardware Monitor,20:21:01.000,0.0,43.0,66.0,44.0,49.0,15.1
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,8.5,47.0,4.6,2.4,0.0,0.0,72.0,Cryptojacking,Open Hardware Monitor,20:21:03.000,0.0,40.0,42.0,40.0,41.0,4.4
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,14.9,49.0,10.6,2.4,0.0,0.0,72.0,Cryptojacking,Open Hardware Monitor,20:21:05.000,0.0,49.0,43.0,43.0,43.0,10.9
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,19.7,60.0,10.7,2.4,0.0,0.0,72.2,Cryptojacking,Open Hardware Monitor,20:21:07.000,0.0,61.0,47.0,53.0,47.0,15.6
SRBMiner Multi (GPU),HP Victus 16-d0417nf,1,Idle,15.1,49.0,8.7,2.4,0.0,0.0,72.0,Cryptojacking,Open Hardware Monitor,20:21:09.000,0.0,40.0,43.0,42.0,43.0,11.0
