Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,17.9,71.0,27.9,2.0,0.0,0.0,51.1,Cryptojacking,Open Hardware Monitor,11:06:34.000,0.2,71.0,70.0,67.0,69.0,14.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,7.7,67.0,10.7,2.0,0.0,0.0,51.1,Cryptojacking,Open Hardware Monitor,11:06:36.000,0.0,67.0,67.0,65.0,66.0,5.0
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.3,60.0,0.6,2.0,0.0,0.0,50.8,Cryptojacking,Open Hardware Monitor,11:06:38.000,0.0,60.0,60.0,60.0,60.0,0.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,4.0,65.0,3.5,2.0,0.0,0.0,50.8,Cryptojacking,Open Hardware Monitor,11:06:40.000,0.0,65.0,65.0,65.0,65.0,1.5
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,5.5,60.0,5.9,2.0,0.0,0.0,50.8,Cryptojacking,Open Hardware Monitor,11:06:42.000,0.0,60.0,60.0,60.0,60.0,2.9
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,13.4,63.0,34.2,2.0,0.0,0.0,51.0,Cryptojacking,Open Hardware Monitor,11:06:44.000,1.1,63.0,63.0,63.0,63.0,9.1
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,14.1,66.0,31.9,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:06:46.000,0.9,66.0,66.0,63.0,64.0,10.1
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,5.3,65.0,16.2,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:06:48.000,0.2,59.0,59.0,59.0,59.0,2.4
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,8.5,67.0,16.1,2.0,0.0,0.0,51.2,Cryptojacking,Open Hardware Monitor,11:06:50.000,0.3,64.0,67.0,63.0,65.0,5.3
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,15.8,71.0,33.6,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:06:52.000,0.7,66.0,71.0,66.0,68.0,12.0
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,8.6,67.0,16.3,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:06:54.000,0.0,67.0,67.0,67.0,67.0,5.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,11.7,68.0,29.3,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:06:56.000,0.6,66.0,67.0,65.0,68.0,8.2
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,7.6,65.0,18.1,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:06:58.000,0.1,65.0,65.0,64.0,65.0,4.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,6.0,61.0,14.4,2.0,0.0,0.0,51.3,Cryptojacking,Open Hardware Monitor,11:07:00.000,0.1,61.0,61.0,61.0,61.0,3.2
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,8.1,67.0,10.8,2.0,0.0,0.0,51.2,Cryptojacking,Open Hardware Monitor,11:07:02.000,0.0,66.0,67.0,65.0,66.0,5.4
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,4.0,60.0,3.3,2.0,0.0,0.0,51.3,Cryptojacking,Open Hardware Monitor,11:07:04.000,0.0,59.0,59.0,59.0,59.0,1.4
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,9.7,65.0,28.3,2.0,0.0,0.0,51.1,Cryptojacking,Open Hardware Monitor,11:07:06.000,0.4,65.0,65.0,63.0,65.0,6.4
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,17.7,67.0,36.4,2.0,0.0,0.0,51.6,Cryptojacking,Open Hardware Monitor,11:07:08.000,1.2,67.0,66.0,66.0,66.0,13.2
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.7,65.0,2.9,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:10.000,0.0,65.0,65.0,65.0,65.0,1.1
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.3,63.0,2.3,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:12.000,0.0,63.0,63.0,63.0,63.0,0.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.9,60.0,1.9,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:07:14.000,0.0,60.0,60.0,60.0,60.0,1.3
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.4,63.0,1.6,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:07:16.000,0.0,63.0,61.0,60.0,62.0,0.9
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,7.7,63.0,12.3,2.0,0.0,0.0,51.3,Cryptojacking,Open Hardware Monitor,11:07:18.000,0.0,62.0,62.0,62.0,62.0,5.0
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.6,58.0,0.6,2.0,0.0,0.0,51.3,Cryptojacking,Open Hardware Monitor,11:07:20.000,0.0,57.0,57.0,57.0,57.0,1.0
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.4,60.0,1.8,2.0,0.0,0.0,51.3,Cryptojacking,Open Hardware Monitor,11:07:22.000,0.0,60.0,60.0,60.0,60.0,0.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,4.0,62.0,1.6,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:07:24.000,0.0,62.0,62.0,62.0,62.0,1.4
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.4,62.0,2.0,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:07:26.000,0.0,56.0,56.0,56.0,56.0,0.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,7.3,67.0,11.7,2.0,0.0,0.0,51.4,Cryptojacking,Open Hardware Monitor,11:07:28.000,0.0,64.0,66.0,64.0,65.0,4.6
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,4.7,62.0,2.3,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:30.000,0.0,61.0,62.0,60.0,62.0,2.0
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,5.5,62.0,9.2,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:32.000,0.0,56.0,56.0,56.0,56.0,2.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,6.6,63.0,8.4,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:34.000,0.0,60.0,60.0,60.0,61.0,3.8
T-Rex (GPU),ASUS Zenbook UX51VZ,1,Idle,3.3,60.0,0.6,2.0,0.0,0.0,51.5,Cryptojacking,Open Hardware Monitor,11:07:36.000,0.0,60.0,60.0,60.0,60.0,0.8
