Attack,Host,Run,Mode,CPU Power (W),CPU Temperature (°C),CPU Usage (%),GPU Memory Usage (%),GPU Temperature (°C),GPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Graphics Power (W),CPU Temperature Core #1 (°C),CPU Temperature Core #2 (°C),CPU Temperature Core #3 (°C),CPU Temperature Core #4 (°C),CPU Power Cores (W)
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,8.7,46.0,4.7,2.4,43.0,0.0,63.9,Cryptojacking,Open Hardware Monitor,11:55:03.000,0.1,41.0,42.0,39.0,40.0,4.3
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,4.6,46.0,3.9,2.4,0.0,0.0,63.9,Cryptojacking,Open Hardware Monitor,11:55:05.000,0.1,39.0,39.0,38.0,38.0,1.3
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,4.5,45.0,2.9,2.4,43.0,0.0,63.4,Cryptojacking,Open Hardware Monitor,11:55:07.000,0.1,39.0,39.0,38.0,38.0,1.1
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.4,46.0,5.5,2.4,0.0,0.0,63.1,Cryptojacking,Open Hardware Monitor,11:55:09.000,0.1,40.0,46.0,40.0,40.0,2.4
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.0,46.0,4.3,2.4,43.0,0.0,63.2,Cryptojacking,Open Hardware Monitor,11:55:11.000,0.1,40.0,41.0,41.0,40.0,1.9
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,5.4,45.0,5.2,2.4,43.0,0.0,58.1,Cryptojacking,Open Hardware Monitor,11:55:13.000,0.0,39.0,39.0,37.0,39.0,1.7
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.3,46.0,4.7,2.4,0.0,0.0,58.1,Cryptojacking,Open Hardware Monitor,11:55:15.000,0.0,39.0,40.0,38.0,38.0,3.2
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,4.8,45.0,2.8,2.4,44.0,0.0,58.1,Cryptojacking,Open Hardware Monitor,11:55:17.000,0.0,39.0,42.0,37.0,39.0,1.8
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.9,46.0,1.3,2.4,0.0,0.0,58.0,Cryptojacking,Open Hardware Monitor,11:55:19.000,0.1,39.0,39.0,38.0,38.0,1.1
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.1,46.0,5.8,2.4,44.0,0.0,57.9,Cryptojacking,Open Hardware Monitor,11:55:21.000,0.0,43.0,40.0,39.0,38.0,3.0
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.0,45.0,5.2,2.4,0.0,0.0,57.9,Cryptojacking,Open Hardware Monitor,11:55:23.000,0.0,38.0,40.0,40.0,38.0,2.8
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,4.8,46.0,4.3,2.4,44.0,0.0,57.9,Cryptojacking,Open Hardware Monitor,11:55:25.000,0.0,41.0,39.0,38.0,38.0,1.8
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.2,44.0,5.2,2.4,44.0,0.0,57.9,Cryptojacking,Open Hardware Monitor,11:55:27.000,0.0,40.0,39.0,37.0,38.0,3.0
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.0,45.0,5.4,2.4,0.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:29.000,0.0,39.0,40.0,38.0,39.0,2.8
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,4.0,45.0,2.0,2.4,0.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:31.000,0.1,38.0,39.0,37.0,39.0,1.1
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,5.7,45.0,4.1,2.4,44.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:33.000,0.0,40.0,39.0,41.0,42.0,2.5
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,5.9,45.0,6.4,2.4,0.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:35.000,0.0,39.0,39.0,37.0,39.0,2.8
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.9,45.0,2.1,2.4,0.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:37.000,0.1,39.0,39.0,38.0,38.0,1.0
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.9,45.0,1.6,2.4,44.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:39.000,0.1,38.0,39.0,38.0,38.0,1.0
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.9,46.0,0.9,2.4,43.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:41.000,0.1,39.0,39.0,38.0,39.0,0.9
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,3.9,46.0,1.0,2.4,43.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:43.000,0.1,38.0,39.0,40.0,38.0,1.0
WildRig Multi (GPU),HP Victus 16-d0417nf,1,Idle,6.3,45.0,5.3,2.4,44.0,0.0,57.8,Cryptojacking,Open Hardware Monitor,11:55:45.000,0.0,39.0,38.0,37.0,39.0,3.0
