Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.145,Denial of Service,ACS712,0.429,429
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.835,Denial of Service,ACS712,0.567,567
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.465,Denial of Service,ACS712,0.693,693
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.2,Denial of Service,ACS712,0.64,640
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9699999999999998,Denial of Service,ACS712,0.594,594
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.66,Denial of Service,ACS712,0.732,732
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.465,Denial of Service,ACS712,0.693,693
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.795,Denial of Service,ACS712,0.759,759
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.96,Denial of Service,ACS712,0.792,792
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.6800000000000002,Denial of Service,ACS712,0.336,336
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.3950000000000005,Denial of Service,ACS712,0.679,679
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.4949999999999997,Denial of Service,ACS712,0.699,699
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.135,Denial of Service,ACS712,0.627,627
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.1,Denial of Service,ACS712,0.62,620
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9349999999999996,Denial of Service,ACS712,0.587,587
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.835,Denial of Service,ACS712,0.567,567
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.065,Denial of Service,ACS712,0.613,613
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.9100000000000001,Denial of Service,ACS712,0.382,382
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
