Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk0 Block Size (Ko),Disk mmcblk0 Read (Ko/s),Disk mmcblk0 Transfers,Disk mmcblk0 Usage (%),Disk mmcblk0 Write (Ko/s),Disk mmcblk0p1 Block Size (Ko),Disk mmcblk0p1 Read (Ko/s),Disk mmcblk0p1 Transfers,Disk mmcblk0p1 Usage (%),Disk mmcblk0p1 Write (Ko/s),Disk mmcblk0p2 Block Size (Ko),Disk mmcblk0p2 Read (Ko/s),Disk mmcblk0p2 Transfers,Disk mmcblk0p2 Usage (%),Disk mmcblk0p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Total (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.700000000000003,6.207752429235313,Denial of Service,nmon,14:34:44.000,96.3,3.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3552.1,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,6.207752429235313,Denial of Service,nmon,14:34:45.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3552.1,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,6.2156738487536884,Denial of Service,nmon,14:34:46.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.8,74.3,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,6.220954795099276,Denial of Service,nmon,14:34:47.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.6,74.3,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,82.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,6.2156738487536884,Denial of Service,nmon,14:34:48.000,99.5,0.2,0.0,0.2,16.0,0.0,2.0,0.0,31.9,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,31.9,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.8,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,119.7,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,6.2156738487536884,Denial of Service,nmon,14:34:49.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.8,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.0,6.2183143219264885,Denial of Service,nmon,14:34:50.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.7,74.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.5,6.2183143219264885,Denial of Service,nmon,14:34:51.000,99.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.7,74.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,6.207752429235313,Denial of Service,nmon,14:34:52.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3552.1,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,99.7,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,6.2156738487536884,Denial of Service,nmon,14:34:53.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.8,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,79.8,0,1,0.0,0.0
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,6.220954795099276,Denial of Service,nmon,14:34:54.000,99.8,0.2,0.0,0.0,5.1,0.0,7.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,5.1,0.0,7.0,0.0,35.9,28.0,0.0,0.2,8.5,51.8,13.1,90.2,3551.6,74.2,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,142.5,0,1,0.0,0.0
