Attack,Host,Run,Mode,CPU Temperature (°C),Attack Type,Measurement,CPU Temperature (m°C)
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,44.303,Denial of Service,System,44303
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.842,Denial of Service,System,42842
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,42.355,Denial of Service,System,42355
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.329,Denial of Service,System,43329
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
GoldenEye (HTTP),Raspberry Pi 4B 4GB,1,Idle,43.816,Denial of Service,System,43816
