Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.815,Denial of Service,ACS712,0.363,363
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.945,Denial of Service,ACS712,0.389,389
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.475,Denial of Service,ACS712,0.495,495
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7350000000000003,Denial of Service,ACS712,0.547,547
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.0,Denial of Service,ACS712,0.6,600
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.88,Denial of Service,ACS712,0.376,376
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.715,Denial of Service,ACS712,0.343,343
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.23,Denial of Service,ACS712,0.646,646
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.045,Denial of Service,ACS712,0.409,409
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.705,Denial of Service,ACS712,0.541,541
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.7449999999999999,Denial of Service,ACS712,0.349,349
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.9100000000000001,Denial of Service,ACS712,0.382,382
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.835,Denial of Service,ACS712,0.567,567
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.7700000000000005,Denial of Service,ACS712,0.554,554
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.265,Denial of Service,ACS712,0.653,653
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.515,Denial of Service,ACS712,0.303,303
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.145,Denial of Service,ACS712,0.429,429
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.9,Denial of Service,ACS712,0.58,580
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.825,Denial of Service,ACS712,0.765,765
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.33,Denial of Service,ACS712,0.666,666
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.045,Denial of Service,ACS712,0.409,409
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.67,Denial of Service,ACS712,0.534,534
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.505,Denial of Service,ACS712,0.501,501
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.88,Denial of Service,ACS712,0.376,376
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.6500000000000001,Denial of Service,ACS712,0.33,330
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.815,Denial of Service,ACS712,0.363,363
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.405,Denial of Service,ACS712,0.481,481
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.365,Denial of Service,ACS712,0.673,673
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,3.035,Denial of Service,ACS712,0.607,607
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,1.815,Denial of Service,ACS712,0.363,363
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.805,Denial of Service,ACS712,0.561,561
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.705,Denial of Service,ACS712,0.541,541
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.64,Denial of Service,ACS712,0.528,528
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
Goloris (HTTP),Raspberry Pi 4B 4GB,1,Idle,2.8699999999999997,Denial of Service,ACS712,0.574,574
