Attack,Host,Run,Mode,CPU Temperature (°C),Attack Type,Measurement,CPU Temperature (m°C)
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.92,Denial of Service,System,39920
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.459,Denial of Service,System,38459
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.459,Denial of Service,System,38459
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.92,Denial of Service,System,39920
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,38.946,Denial of Service,System,38946
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,39.433,Denial of Service,System,39433
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.868,Denial of Service,System,41868
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.868,Denial of Service,System,41868
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.868,Denial of Service,System,41868
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.868,Denial of Service,System,41868
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.894,Denial of Service,System,40894
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.868,Denial of Service,System,41868
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,40.407,Denial of Service,System,40407
HULK (HTTP),Raspberry Pi 4B 4GB,1,Idle,41.381,Denial of Service,System,41381
