Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.688,Denial of Service,ACS712,0.224,224
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,-0.07200000000000001,Denial of Service,ACS712,-0.006,-6
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.3760000000000003,Denial of Service,ACS712,0.198,198
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.07200000000000001,Denial of Service,ACS712,0.006,6
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.688,Denial of Service,ACS712,0.224,224
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.448,Denial of Service,ACS712,0.204,204
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.5,Denial of Service,ACS712,0.125,125
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,-0.708,Denial of Service,ACS712,-0.059,-59
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.8119999999999998,Denial of Service,ACS712,0.151,151
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,-0.46799999999999997,Denial of Service,ACS712,-0.039,-39
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.22799999999999998,Denial of Service,ACS712,0.019,19
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.624,Denial of Service,ACS712,0.052,52
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.46799999999999997,Denial of Service,ACS712,0.039,39
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.416,Denial of Service,ACS712,0.118,118
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.792,Denial of Service,ACS712,0.066,66
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.312,Denial of Service,ACS712,0.026,26
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.928,Denial of Service,ACS712,0.244,244
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.7399999999999998,Denial of Service,ACS712,0.145,145
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,-0.07200000000000001,Denial of Service,ACS712,-0.006,-6
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.896,Denial of Service,ACS712,0.158,158
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,3.3240000000000003,Denial of Service,ACS712,0.277,277
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.5,Denial of Service,ACS712,0.125,125
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.5,Denial of Service,ACS712,0.125,125
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.396,Denial of Service,ACS712,0.033,33
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.584,Denial of Service,ACS712,0.132,132
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.052,Denial of Service,ACS712,0.171,171
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.344,Denial of Service,ACS712,0.112,112
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,3.24,Denial of Service,ACS712,0.27,270
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.98,Denial of Service,ACS712,0.165,165
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,3.168,Denial of Service,ACS712,0.264,264
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.552,Denial of Service,ACS712,0.046,46
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.7720000000000002,Denial of Service,ACS712,0.231,231
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.0,Denial of Service,ACS712,0.0,0
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.156,Denial of Service,ACS712,0.013,13
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,3.7199999999999998,Denial of Service,ACS712,0.31,310
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,-0.552,Denial of Service,ACS712,-0.046,-46
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,3.24,Denial of Service,ACS712,0.27,270
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.948,Denial of Service,ACS712,0.079,79
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.26,Denial of Service,ACS712,0.105,105
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.156,Denial of Service,ACS712,0.013,13
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,4.032,Denial of Service,ACS712,0.336,336
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.208,Denial of Service,ACS712,0.184,184
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,2.136,Denial of Service,ACS712,0.178,178
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.104,Denial of Service,ACS712,0.092,92
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,0.708,Denial of Service,ACS712,0.059,59
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.02,Denial of Service,ACS712,0.085,85
MHDDoS (ICMP),HOSAFE HX-2PT1,1,Idle,1.6560000000000001,Denial of Service,ACS712,0.138,138
