Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Current (A),Current (mA)
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,3.165,Denial of Service,ACS712,0.633,633
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.705,Denial of Service,ACS712,0.541,541
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.6800000000000002,Denial of Service,ACS712,0.336,336
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.175,Denial of Service,ACS712,0.435,435
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.0100000000000002,Denial of Service,ACS712,0.402,402
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.945,Denial of Service,ACS712,0.389,389
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.31,Denial of Service,ACS712,0.462,462
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.845,Denial of Service,ACS712,0.369,369
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.2850000000000001,Denial of Service,ACS712,0.257,257
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.11,Denial of Service,ACS712,0.422,422
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.3400000000000003,Denial of Service,ACS712,0.468,468
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.715,Denial of Service,ACS712,0.343,343
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.045,Denial of Service,ACS712,0.409,409
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.21,Denial of Service,ACS712,0.442,442
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.5700000000000003,Denial of Service,ACS712,0.514,514
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.045,Denial of Service,ACS712,0.409,409
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.54,Denial of Service,ACS712,0.508,508
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.275,Denial of Service,ACS712,0.455,455
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.375,Denial of Service,ACS712,0.475,475
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.0749999999999997,Denial of Service,ACS712,0.415,415
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.24,Denial of Service,ACS712,0.448,448
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,1.9100000000000001,Denial of Service,ACS712,0.382,382
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.605,Denial of Service,ACS712,0.521,521
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,2.44,Denial of Service,ACS712,0.488,488
