Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Total (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,3.5,7.398605830164762,Denial of Service,nmon,15:59:47.000,96.5,2.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:48.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:49.000,100.0,0.0,0.0,0.0,32.0,0.0,1.0,1.0,31.9,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,31.9,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:50.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,7.398605830164762,Denial of Service,nmon,15:59:51.000,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,7.398605830164762,Denial of Service,nmon,15:59:52.000,99.8,0.0,0.0,0.2,20.0,0.0,2.0,0.0,39.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,1.0,39.8,28.0,0.0,0.2,7.7,69.7,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.7,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:53.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.8,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:54.000,100.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,4.0,28.0,0.0,0.2,7.7,69.8,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:55.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.8,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.9,0,1,0.0,0.0
MHDDoS (ICMP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.398605830164762,Denial of Service,nmon,15:59:56.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,69.8,14.5,145.6,3507.0,112.9,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,0,1,0.0,0.0
