Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Usage (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,6.099999999999994,27.540135192226444,Denial of Service,nmon,17:52:28.000,93.9,3.5,1.2,1.4,58.2,1643.5,28.8,5.5,34.3,0.0,0.0,0.0,0.0,0.0,58.2,1643.5,28.8,5.5,34.3,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.5,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:52:29.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.5,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:30.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.5,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:31.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,2.0,27.540135192226444,Denial of Service,nmon,17:52:32.000,98.0,0.0,0.0,2.0,8.1,0.0,34.9,5.0,283.3,0.0,0.0,0.0,0.0,0.0,8.1,0.0,34.9,5.0,283.3,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,354.2,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,27.540135192226444,Denial of Service,nmon,17:52:33.000,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:34.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:35.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:36.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0,1,0.0,0.0
MHDDoS (TCP),Raspberry Pi 4B 4GB,1,Idle,0.0,27.540135192226444,Denial of Service,nmon,17:52:37.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,168.1,41.7,823.4,2744.2,719.1,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,0,1,0.0,0.0
