Attack,Host,Run,Mode,CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,CPU Usage Idle (%),CPU Usage System (%),CPU Usage User (%),CPU Usage Wait %,Disk mmcblk1 Block Size (Ko),Disk mmcblk1 Read (Ko/s),Disk mmcblk1 Transfers,Disk mmcblk1 Usage (%),Disk mmcblk1 Write (Ko/s),Disk mmcblk1p1 Block Size (Ko),Disk mmcblk1p1 Read (Ko/s),Disk mmcblk1p1 Transfers,Disk mmcblk1p1 Usage (%),Disk mmcblk1p1 Write (Ko/s),Disk mmcblk1p2 Block Size (Ko),Disk mmcblk1p2 Read (Ko/s),Disk mmcblk1p2 Transfers,Disk mmcblk1p2 Usage (%),Disk mmcblk1p2 Write (Ko/s),JFS boot/firmware Usage (%),JFS dev Usage (%),JFS run Usage (%),JFS Usage (%),Memory Active (Mo),Memory Buffers (Mo),Memory Cached (Mo),Memory Free (Mo),Memory Inactive (Mo),Memory Total (Mo),Network eth0 Received (Ko/s),Network eth0 Sent (Ko/s),Network lo Received (Ko/s),Network lo Sent (Ko/s),Network wlan0 Received (Ko/s),Network wlan0 Sent (Ko/s),Network Packet eth0 Received,Network Packet eth0 Sent,Network Packet lo Received,Network Packet lo Sent,Network Packet wlan0 Received,Network Packet wlan0 Sent,Process Execs,Process Forks,Process Switches,Processes Blocked,Processes Runnable,Swap Free (Mo),Swap Usage (Mo)
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,3.700000000000003,7.52534854245881,Denial of Service,nmon,15:41:22.000,96.3,2.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:23.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.1,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.8,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:24.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.9,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:25.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:26.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,92.8,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.20000000000000284,7.52534854245881,Denial of Service,nmon,15:41:27.000,99.8,0.0,0.0,0.2,20.0,0.0,3.0,0.0,59.8,0.0,0.0,0.0,0.0,0.0,20.0,0.0,3.0,0.0,59.8,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.6,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:28.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66.8,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:29.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:30.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.1,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,77.8,0,1,0.0,0.0
MHDDoS (UDP),Raspberry Pi 4B 4GB,1,Idle,0.0,7.52534854245881,Denial of Service,nmon,15:41:31.000,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.2,7.7,68.1,13.4,145.2,3502.2,112.8,3787.2,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.9,0,1,0.0,0.0
