Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,0.0,2.64496,Denial of Service,System,03:32:00.287
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,0.0,2.64831,Denial of Service,System,03:32:01.475
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,30.0,2.64821,Denial of Service,System,03:32:02.696
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.65116,Denial of Service,System,03:32:03.925
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,33.3,2.65616,Denial of Service,System,03:32:05.163
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.65241,Denial of Service,System,03:32:06.394
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64361,Denial of Service,System,03:32:07.626
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,30.0,2.63565,Denial of Service,System,03:32:08.860
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,45.2,30.0,2.631,Denial of Service,System,03:32:10.090
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64045,Denial of Service,System,03:32:11.331
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,33.3,2.64361,Denial of Service,System,03:32:12.561
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.64666,Denial of Service,System,03:32:13.802
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.6371,Denial of Service,System,03:32:15.037
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,30.0,2.64786,Denial of Service,System,03:32:16.265
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,14.3,2.64341,Denial of Service,System,03:32:17.492
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,25.0,2.64045,Denial of Service,System,03:32:18.720
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,22.2,2.64331,Denial of Service,System,03:32:19.962
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,42.8,25.0,2.64716,Denial of Service,System,03:32:21.201
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65586,Denial of Service,System,03:32:22.428
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65161,Denial of Service,System,03:32:23.661
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,25.0,2.65401,Denial of Service,System,03:32:24.894
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,37.5,2.65706,Denial of Service,System,03:32:26.127
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.65706,Denial of Service,System,03:32:27.354
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.3,22.2,2.65076,Denial of Service,System,03:32:28.581
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,22.2,2.65391,Denial of Service,System,03:32:29.810
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,22.2,2.65836,Denial of Service,System,03:32:31.035
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,33.3,2.65706,Denial of Service,System,03:32:32.264
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,44.8,25.0,2.64956,Denial of Service,System,03:32:33.498
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.3,30.0,2.64956,Denial of Service,System,03:32:34.726
PyFlooder (HTTP),Raspberry Pi 4B 8GB,1,Idle,43.8,25.0,2.6338,Denial of Service,System,03:32:35.955
