Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.21,Denial of Service,ACS712,00:00:00.000,0.0,0.64,2.38
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.79,Denial of Service,ACS712,00:00:00.830,0.83,0.56,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.72,Denial of Service,ACS712,00:00:01.930,1.93,0.54,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.75,Denial of Service,ACS712,00:00:03.040,3.04,0.55,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.59,Denial of Service,ACS712,00:00:04.140,4.14,0.52,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.59,Denial of Service,ACS712,00:00:05.240,5.24,0.52,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.62,Denial of Service,ACS712,00:00:06.340,6.34,0.52,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.22,Denial of Service,ACS712,00:00:07.440,7.44,0.64,2.38
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.08,Denial of Service,ACS712,00:00:08.550,8.55,0.62,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.69,Denial of Service,ACS712,00:00:09.650,9.65,0.54,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.8,Denial of Service,ACS712,00:00:10.750,10.75,0.56,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.96,Denial of Service,ACS712,00:00:11.850,11.85,0.59,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.87,Denial of Service,ACS712,00:00:12.950,12.95,0.57,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.84,Denial of Service,ACS712,00:00:14.050,14.05,0.57,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.84,Denial of Service,ACS712,00:00:15.160,15.16,0.57,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.96,Denial of Service,ACS712,00:00:16.250,16.25,0.59,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.09,Denial of Service,ACS712,00:00:17.360,17.36,0.62,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.01,Denial of Service,ACS712,00:00:18.460,18.46,0.6,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.88,Denial of Service,ACS712,00:00:19.560,19.56,0.58,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.88,Denial of Service,ACS712,00:00:20.660,20.66,0.58,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.76,Denial of Service,ACS712,00:00:21.760,21.76,0.55,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.97,Denial of Service,ACS712,00:00:22.860,22.86,0.59,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.28,Denial of Service,ACS712,00:00:23.970,23.97,0.66,2.38
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.17,Denial of Service,ACS712,00:00:25.070,25.07,0.63,2.38
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.28,Denial of Service,ACS712,00:00:26.170,26.17,0.66,2.38
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.44,Denial of Service,ACS712,00:00:27.270,27.27,0.49,2.41
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.4,Denial of Service,ACS712,00:00:28.370,28.37,0.48,2.41
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.71,Denial of Service,ACS712,00:00:29.470,29.47,0.54,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.51,Denial of Service,ACS712,00:00:30.580,30.58,0.5,2.41
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.34,Denial of Service,ACS712,00:00:31.680,31.68,0.47,2.41
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.08,Denial of Service,ACS712,00:00:32.780,32.78,0.62,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.93,Denial of Service,ACS712,00:00:33.880,33.88,0.59,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.87,Denial of Service,ACS712,00:00:34.980,34.98,0.57,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,3.06,Denial of Service,ACS712,00:00:36.080,36.08,0.61,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.95,Denial of Service,ACS712,00:00:37.190,37.19,0.59,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.91,Denial of Service,ACS712,00:00:38.290,38.29,0.58,2.39
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.76,Denial of Service,ACS712,00:00:39.390,39.39,0.55,2.4
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,2.56,Denial of Service,ACS712,00:00:40.490,40.49,0.51,2.41
