Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,Relative Time (s),Memory Usage (Mo),Network (Ko/s)
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,19.4,Denial of Service,System,00:00:00.000,0.0,538.5,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.5,19.3,Denial of Service,System,00:00:01.010,1.01,538.22,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.3,Denial of Service,System,00:00:02.020,2.02,537.79,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:03.030,3.03,537.65,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:04.030,4.03,537.65,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:05.040,5.04,537.9,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:06.050,6.05,538.41,1.26953125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,3.0,19.3,Denial of Service,System,00:00:07.060,7.06,538.41,0.650390625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,2.0,19.3,Denial of Service,System,00:00:08.080,8.08,537.89,0.158203125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:09.080,9.08,537.89,0.1025390625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:10.090,10.09,537.89,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:11.100,11.1,537.89,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:12.110,12.11,538.4,0.0703125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.5,19.3,Denial of Service,System,00:00:13.120,13.12,538.4,1.501953125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.3,Denial of Service,System,00:00:14.130,14.13,538.4,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.3,Denial of Service,System,00:00:15.140,15.14,538.4,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.3,Denial of Service,System,00:00:16.150,16.15,538.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.5,19.3,Denial of Service,System,00:00:17.160,17.16,538.39,0.115234375
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.3,Denial of Service,System,00:00:18.170,18.17,538.39,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:00:19.180,19.18,538.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.5,19.3,Denial of Service,System,00:00:20.190,20.19,538.31,0.4560546875
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.1,Denial of Service,System,00:00:21.200,21.2,534.63,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.1,Denial of Service,System,00:00:22.200,22.2,534.63,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.1,Denial of Service,System,00:00:23.210,23.21,534.63,0.318359375
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.5,19.1,Denial of Service,System,00:00:24.220,24.22,534.63,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.1,Denial of Service,System,00:00:25.230,25.23,534.63,1.654296875
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.1,Denial of Service,System,00:00:26.240,26.24,534.62,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:27.250,27.25,535.09,0.560546875
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.2,Denial of Service,System,00:00:28.260,28.26,535.09,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:29.270,29.27,535.09,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:30.280,30.28,535.09,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:31.290,31.29,535.09,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.2,Denial of Service,System,00:00:32.300,32.3,535.09,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,1.5,19.2,Denial of Service,System,00:00:33.310,33.31,535.09,15.7333984375
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:34.320,34.32,535.09,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:35.330,35.33,535.34,0.064453125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.2,Denial of Service,System,00:00:36.340,36.34,535.33,0.05078125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:37.340,37.34,535.33,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:38.350,38.35,535.33,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.2,Denial of Service,System,00:00:39.360,39.36,535.33,0.1025390625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.2,Denial of Service,System,00:00:40.370,40.37,535.33,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.2,Denial of Service,System,00:00:41.390,41.39,535.33,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.2,Denial of Service,System,00:00:42.400,42.4,535.32,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:43.410,43.41,535.32,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,1.0,19.2,Denial of Service,System,00:00:44.410,44.41,535.32,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:45.430,45.43,535.32,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:46.430,46.43,535.32,0.0703125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:47.440,47.44,535.32,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.2,Denial of Service,System,00:00:48.450,48.45,535.32,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.2,Denial of Service,System,00:00:49.460,49.46,535.44,0.0703125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:50.470,50.47,535.44,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.2,Denial of Service,System,00:00:51.480,51.48,535.44,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:52.490,52.49,535.44,0.6484375
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.2,Denial of Service,System,00:00:53.500,53.5,535.69,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.2,Denial of Service,System,00:00:54.510,54.51,535.69,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.2,Denial of Service,System,00:00:55.520,55.52,535.69,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,0.0,19.2,Denial of Service,System,00:00:56.530,56.53,535.69,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,0.0,19.2,Denial of Service,System,00:00:57.540,57.54,535.69,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.0,2.5,19.2,Denial of Service,System,00:00:58.550,58.55,535.69,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,55.5,9.0,19.2,Denial of Service,System,00:00:59.560,59.56,535.18,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,29.7,19.3,Denial of Service,System,00:01:00.560,60.56,535.39,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,19.3,Denial of Service,System,00:01:01.580,61.58,536.93,2.513671875
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.0,19.3,Denial of Service,System,00:01:02.580,62.58,537.11,0.203125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,57.4,56.5,19.7,Denial of Service,System,00:01:03.590,63.59,543.34,1.4140625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.8,Denial of Service,System,00:01:04.590,64.59,544.43,0.267578125
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,19.8,Denial of Service,System,00:01:05.600,65.6,544.93,0.23046875
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,19.8,Denial of Service,System,00:01:06.610,66.61,545.95,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,34.0,19.7,Denial of Service,System,00:01:07.620,67.62,541.92,0.087890625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,19.7,Denial of Service,System,00:01:08.620,68.62,543.09,0.4609375
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.7,Denial of Service,System,00:01:09.630,69.63,543.58,0.1025390625
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.0,19.8,Denial of Service,System,00:01:10.630,70.63,543.83,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.0,0.5,19.7,Denial of Service,System,00:01:11.630,71.63,543.19,0.0
Slowloris (HTTP),Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,19.4,Denial of Service,System,00:01:12.640,72.64,539.41,0.087890625
