Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Bstry,Raspberry Pi 4B 2GB,1,Idle,3.13,Ransomware,ACS712,00:00:00.000,0.0,0.63,2.38
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.89,Ransomware,ACS712,00:00:00.830,0.83,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.88,Ransomware,ACS712,00:00:01.930,1.93,0.58,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,3.03,Ransomware,ACS712,00:00:03.030,3.03,0.61,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.48,Ransomware,ACS712,00:00:04.140,4.14,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.39,Ransomware,ACS712,00:00:05.240,5.24,0.48,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.73,Ransomware,ACS712,00:00:06.340,6.34,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.54,Ransomware,ACS712,00:00:07.440,7.44,0.51,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.51,Ransomware,ACS712,00:00:08.540,8.54,0.5,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.54,Ransomware,ACS712,00:00:09.650,9.65,0.51,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.76,Ransomware,ACS712,00:00:10.750,10.75,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,3.21,Ransomware,ACS712,00:00:11.850,11.85,0.64,2.38
Bstry,Raspberry Pi 4B 2GB,1,Idle,3.05,Ransomware,ACS712,00:00:12.950,12.95,0.61,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.72,Ransomware,ACS712,00:00:14.050,14.05,0.54,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,3.0,Ransomware,ACS712,00:00:15.150,15.15,0.6,2.39
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.73,Ransomware,ACS712,00:00:16.260,16.26,0.55,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.79,Ransomware,ACS712,00:00:17.360,17.36,0.56,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.34,Ransomware,ACS712,00:00:18.460,18.46,0.47,2.41
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.67,Ransomware,ACS712,00:00:19.560,19.56,0.53,2.4
Bstry,Raspberry Pi 4B 2GB,1,Idle,2.48,Ransomware,ACS712,00:00:20.660,20.66,0.5,2.41
