Attack,Host,Run,Mode,Power (W),Attack Type,Measurement,Timestamp,Relative Time (s),Current (A),Voltage (V)
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.29,Ransomware,ACS712,00:00:00.000,0.0,0.66,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.73,Ransomware,ACS712,00:00:00.830,0.83,0.75,2.36
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.9,Ransomware,ACS712,00:00:01.930,1.93,0.78,2.36
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.96,Ransomware,ACS712,00:00:03.040,3.04,0.79,2.35
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.46,Ransomware,ACS712,00:00:04.140,4.14,0.69,2.37
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.51,Ransomware,ACS712,00:00:05.240,5.24,0.7,2.37
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.21,Ransomware,ACS712,00:00:06.340,6.34,0.64,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.01,Ransomware,ACS712,00:00:07.440,7.44,0.6,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,2.8,Ransomware,ACS712,00:00:08.540,8.54,0.56,2.4
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.0,Ransomware,ACS712,00:00:09.650,9.65,0.6,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.08,Ransomware,ACS712,00:00:10.750,10.75,0.62,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,2.88,Ransomware,ACS712,00:00:11.850,11.85,0.58,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,2.89,Ransomware,ACS712,00:00:12.950,12.95,0.58,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.05,Ransomware,ACS712,00:00:14.050,14.05,0.61,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.26,Ransomware,ACS712,00:00:15.160,15.16,0.65,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.09,Ransomware,ACS712,00:00:16.260,16.26,0.62,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.22,Ransomware,ACS712,00:00:17.360,17.36,0.64,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.03,Ransomware,ACS712,00:00:18.460,18.46,0.61,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.09,Ransomware,ACS712,00:00:19.560,19.56,0.62,2.39
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.36,Ransomware,ACS712,00:00:20.660,20.66,0.67,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.3,Ransomware,ACS712,00:00:21.770,21.77,0.66,2.38
Randomware,Raspberry Pi 4B 2GB,1,Idle,3.17,Ransomware,ACS712,00:00:22.870,22.87,0.63,2.38
