Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,Relative Time (s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Disk Usage (%),Encrypted Files,Encrypted Files Size (Mo),Encryption Speed (o/s),Memory Usage (Mo),Network (Ko/s)
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:00.000,0.0,0.0,0.0,0.0,0,0.0,0,608.89,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:01.030,1.03,0.0,0.0,0.0,0,0.0,0,608.95,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.2,Ransomware,System,00:00:02.050,2.05,0.0,0.0,0.0,0,0.0,0,608.95,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,59.4,21.9,20.3,Ransomware,System,00:00:03.080,3.08,0.0,0.07,0.0,0,0.0,0,608.68,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:04.100,4.1,0.0,0.0,0.0,0,0.0,0,608.92,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.3,Ransomware,System,00:00:05.130,5.13,0.0,0.0,0.0,0,0.0,0,608.92,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:06.180,6.18,0.0,0.0,0.0,0,0.0,0,609.43,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,2.5,20.3,Ransomware,System,00:00:07.240,7.24,0.0,0.0,0.0,0,0.0,0,609.68,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,58.9,0.0,20.3,Ransomware,System,00:00:08.300,8.3,0.0,0.05,0.0,0,0.0,0,609.63,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,58.9,0.0,20.3,Ransomware,System,00:00:09.360,9.36,0.0,0.0,0.0,0,0.0,0,609.29,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.3,Ransomware,System,00:00:10.420,10.42,0.0,0.0,0.0,0,0.0,0,609.24,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.2,Ransomware,System,00:00:11.470,11.47,0.0,0.02,0.0,0,0.0,0,609.13,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:12.520,12.52,0.0,0.0,0.0,0,0.0,0,609.12,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:13.570,13.57,0.0,0.0,0.0,0,0.0,0,609.37,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:14.630,14.63,0.0,0.0,0.0,0,0.0,0,609.37,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:15.690,15.69,0.0,0.0,0.0,0,0.0,0,609.37,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.3,Ransomware,System,00:00:16.750,16.75,0.0,0.0,0.0,0,0.0,0,609.37,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.3,Ransomware,System,00:00:17.800,17.8,0.0,0.0,0.0,0,0.0,0,609.37,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:18.860,18.86,0.0,0.03,0.0,0,0.0,0,608.89,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.5,20.2,Ransomware,System,00:00:19.920,19.92,0.0,0.0,0.0,0,0.0,0,609.13,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.0,20.2,Ransomware,System,00:00:20.970,20.97,0.0,0.0,0.0,0,0.0,0,609.13,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:22.030,22.03,0.0,0.0,0.0,0,0.0,0,608.8,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,20.2,Ransomware,System,00:00:23.080,23.08,0.0,0.02,0.0,0,0.0,0,608.8,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:24.130,24.13,0.0,0.0,0.0,0,0.0,0,609.04,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.2,Ransomware,System,00:00:25.190,25.19,0.0,0.0,0.0,0,0.0,0,609.04,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:26.250,26.25,0.0,0.0,0.0,0,0.0,0,609.04,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.4,0.0,20.2,Ransomware,System,00:00:27.300,27.3,0.0,0.0,0.0,0,0.0,0,608.65,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:28.360,28.36,0.0,0.0,0.0,0,0.0,0,608.9,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,20.3,Ransomware,System,00:00:29.410,29.41,0.0,0.01,0.0,0,0.0,0,609.14,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.0,20.2,Ransomware,System,00:00:30.470,30.47,0.0,0.0,0.0,0,0.0,0,609.14,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.5,20.2,Ransomware,System,00:00:31.530,31.53,0.0,0.0,0.0,0,0.0,0,609.14,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:32.590,32.59,0.0,0.0,0.0,0,0.0,0,609.14,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.5,20.2,Ransomware,System,00:00:33.640,33.64,0.0,0.05,0.0,0,0.0,0,608.89,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.5,20.2,Ransomware,System,00:00:34.700,34.7,0.0,0.0,0.0,0,0.0,0,608.89,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,56.9,0.0,20.2,Ransomware,System,00:00:35.760,35.76,0.0,0.05,0.0,0,0.0,0,608.86,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.5,20.2,Ransomware,System,00:00:36.820,36.82,0.0,0.0,0.0,0,0.0,0,608.86,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:37.870,37.87,0.0,0.0,0.0,0,0.0,0,608.61,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:38.930,38.93,0.0,0.16,0.0,0,0.0,0,608.61,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.2,Ransomware,System,00:00:39.990,39.99,0.0,0.0,0.0,0,0.0,0,608.61,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.0,20.2,Ransomware,System,00:00:41.040,41.04,0.0,0.0,0.0,0,0.0,0,608.32,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,58.4,0.0,20.2,Ransomware,System,00:00:42.100,42.1,0.0,0.0,0.0,0,0.0,0,608.5,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,58.4,0.0,20.2,Ransomware,System,00:00:43.150,43.15,0.0,0.0,0.0,0,0.0,0,608.38,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.9,0.0,20.2,Ransomware,System,00:00:44.210,44.21,0.0,0.14,0.0,0,0.0,0,608.38,0.0
Randomware,Raspberry Pi 4B 2GB,1,Idle,57.4,0.5,20.2,Ransomware,System,00:00:45.260,45.26,0.0,0.0,0.0,0,0.0,0,608.38,0.0
