Attack,Host,Run,Mode,CPU Temperature (°C),CPU Usage (%),Memory Usage (%),Attack Type,Measurement,Timestamp,Relative Time (s),Disk Read (Mo/s),Disk Write (Mo/s),Encrypted Disk Usage (%),Encrypted Files,Encrypted Files Size (Mo),Encryption Speed (o/s),Memory Usage (Mo),Network (Ko/s)
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,57.9,0.0,21.5,Ransomware,System,00:00:00.000,0.0,0.0,0.0,0.0,0,0.0,0,629.64,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.4,0.0,21.6,Ransomware,System,00:00:01.100,1.1,0.0,0.03,0.0,0,0.0,0,631.11,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,57.9,0.0,21.6,Ransomware,System,00:00:02.190,2.19,0.0,0.0,0.0,0,0.0,0,631.36,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.9,0.0,21.6,Ransomware,System,00:00:03.290,3.29,0.0,0.0,0.0,0,0.0,0,631.36,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,57.9,0.0,21.6,Ransomware,System,00:00:04.380,4.38,0.0,0.04,0.0,0,0.0,0,631.6,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.4,0.0,21.5,Ransomware,System,00:00:05.500,5.5,0.0,0.0,0.0,0,0.0,0,629.63,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.4,0.0,21.5,Ransomware,System,00:00:06.660,6.66,0.0,0.0,0.0,0,0.0,0,629.63,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,59.4,0.0,21.5,Ransomware,System,00:00:07.750,7.75,0.0,0.0,0.0,0,0.0,0,629.88,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.9,0.0,21.5,Ransomware,System,00:00:08.850,8.85,0.0,0.0,0.0,0,0.0,0,630.12,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.4,0.0,21.5,Ransomware,System,00:00:09.940,9.94,0.0,0.06,0.0,0,0.0,0,630.12,0.0
Ransomware-PoC,Raspberry Pi 4B 2GB,2,Idle,58.4,0.0,21.5,Ransomware,System,00:00:11.040,11.04,0.0,0.02,0.0,0,0.0,0,630.11,0.0
