Study,Host,Base (W),Attack (W),Variation (%)
C01 (CPU),H03,3.57,8.47,137.25
C02 (CPU),H03,3.57,13.61,281.23
C03 (CPU),H03,3.57,16.3,356.58
C04 (CPU),H03,3.57,16.67,366.95
C05 (CPU),H03,3.57,17.97,403.36
C06 (CPU),H03,3.57,17.7,395.8
C07 (GPU),H04,15.35,24.74,61.17
C08 (GPU),H04,13.22,20.38,54.16
C09 (GPU),H04,18.85,24.78,31.46
C10 (GPU),H04,15.17,14.55,-4.09
C11 (GPU),H04,16.95,8.3,-51.03
C12 (GPU),H04,6.43,12.81,99.22
C13 (GPU),H04,15.84,18.19,14.84
C14 (GPU),H03,5.11,22.25,335.42
C15 (GPU),H04,5.01,7.06,40.92
