Study,Host,Base (°C),Attack (°C),Variation (%)
C01 (CPU),H03,42.0,61.22,45.76
C02 (CPU),H03,42.0,70.42,67.67
C03 (CPU),H03,42.0,76.83,82.93
C04 (CPU),H03,42.0,77.79,85.21
C05 (CPU),H03,42.0,77.57,84.69
C06 (CPU),H01,37.0,59.0,59.46
C06 (CPU),H02,41.4,65.26,57.63
C06 (CPU),H03,42.0,79.57,89.45
C06 (CPU),L04,50.31,77.32,53.69
C07 (GPU),H04,59.22,69.71,17.71
C08 (GPU),H04,54.8,80.57,47.03
C09 (GPU),H04,63.43,75.92,19.69
C10 (GPU),H04,57.26,62.97,9.97
C11 (GPU),H04,59.08,62.52,5.82
C12 (GPU),H04,46.94,51.6,9.93
C13 (GPU),H04,51.99,72.7,39.83
C14 (GPU),H03,58.25,83.93,44.09
C14 (GPU),H06,50.0,67.5,35.0
C15 (GPU),H04,44.78,48.56,8.44
C16 (CPU),L04,50.5,84.4,67.13
C16 (CPU),L05,43.8,81.3,85.62
C16 (CPU),L06,55.0,83.7,52.18
C16 (CPU),L08,48.18,63.63,32.07
