Study,Host,Base (%),Attack (%),Variation (%)
C06 (CPU),H01,12.0,100.0,733.33
C06 (CPU),H02,5.08,39.4,675.59
C06 (CPU),L04,25.1,98.1,290.84
C07 (GPU),H04,9.44,20.13,113.24
C08 (GPU),H04,8.54,10.33,20.96
C09 (GPU),H04,12.27,15.81,28.85
C10 (GPU),H04,5.75,2.01,-65.04
C11 (GPU),H04,6.35,1.7,-73.23
C12 (GPU),H04,8.46,30.55,261.11
C13 (GPU),H04,11.24,11.71,4.18
C14 (GPU),H03,6.06,89.36,1374.59
C14 (GPU),H06,10.0,100.0,900.0
C15 (GPU),H04,3.41,4.51,32.26
C16 (CPU),L04,1.12,100.0,8828.57
C16 (CPU),L05,0.5,100.0,19900.0
C16 (CPU),L06,0.1,100.0,99900.0
C16 (CPU),L06,1.1,100.0,8990.91
C16 (CPU),L06,1.0,100.0,9900.0
C16 (CPU),L08,1.2,100.0,8233.33
