Study,Host,Base (W),Attack (W),Variation (%)
D01 (HTTP),L06,2.93,3.86,31.74
D02 (HTTP),L02,1.2,1.29,7.5
D02 (HTTP),L06,2.43,3.09,27.16
D03 (SYN),L01,2.9,4.4,51.72
D03 (SYN),L02,3.51,3.6,2.56
D03 (SYN),L03,1.64,2.02,23.17
D03 (SYN),L09,0.48,0.5,4.17
D04 (HTTP),L06,2.9,2.89,-0.34
D05 (ICMP),L02,1.26,1.28,1.59
D05 (ICMP),L06,2.32,4.88,110.34
D06 (TCP),L02,1.18,1.54,30.51
D06 (TCP),L06,2.46,4.64,88.62
D07 (UDP),L02,1.33,1.45,9.02
D07 (UDP),L06,2.43,3.55,46.09
D09 (HTTP),L05,2.87,3.12,8.71
D09 (HTTP),L05,2.88,2.92,1.39
D09 (HTTP),L05,2.78,2.99,7.55
