Metric,Attack Type,n,Wilcoxon Statistic $W$,P-Value,Significance ($\alpha=0.05$)
CPU Power Consumption (W),Cryptojacking,15,111.0,0.00101,Yes
CPU Temperature ($^\circ$C),Cryptojacking,23,276.0,1.19e-07,Yes
CPU Temperature ($^\circ$C),Denial of Service,6,19.0,0.0469,Yes
CPU Temperature ($^\circ$C),Ransomware,14,105.0,0.000489,Yes
CPU Usage (\%),Cryptojacking,19,179.0,0.000105,Yes
CPU Usage (\%),Denial of Service,10,51.0,0.00684,Yes
CPU Usage (\%),Ransomware,14,105.0,0.000478,Yes
GPU Memory Usage (\%),Cryptojacking,9,45.0,0.00195,Yes
GPU Temperature ($^\circ$C),Cryptojacking,9,45.0,0.00195,Yes
GPU Usage (\%),Cryptojacking,10,55.0,0.000977,Yes
Memory Usage (\%),Cryptojacking,18,171.0,3.81e-06,Yes
Memory Usage (\%),Denial of Service,10,53.5,0.00293,Yes
Memory Usage (\%),Ransomware,14,104.0,0.000592,Yes
Power Consumption (W),Cryptojacking,2,3.0,0.25,No
Power Consumption (W),Denial of Service,17,152.0,0.000175,Yes
Power Consumption (W),Ransomware,14,105.0,0.000487,Yes
